avg(density),avg(temperature),avg(velocity (2)),Time
0.9999,0.05,0,0
0.99990008493,0.05,0,1
0.999900195465,0.05,0,2
0.999900331714,0.05,-6.93958556051e-18,3
0.99990049371,0.05,-6.93958443621e-18,4
0.999900681444,0.05,3.15751032564e-17,5
0.999900894876,0.05,0,6
0.999901133945,0.05,0,7
0.999901398574,0.05,-1.24912406812e-17,8
0.999901688677,0.05,4.71891177712e-17,9
0.999902004156,0.05,3.15750614876e-17,10
0.999902344906,0.05,-2.77582863537e-17,11
0.999902710814,0.05,4.85769833425e-17,12
0.99990310176,0.05,2.63703520756e-17,13
0.999903517616,0.05,3.12280355229e-18,14
0.99990395825,0.05,1.38791207829e-17,15
0.999904423521,0.05,9.02142431105e-17,16
0.999904913283,0.05,5.6904340859e-17,17
0.999905427383,0.05,-1.07563028028e-17,18
0.999905965662,0.05,-4.16372787574e-17,19
0.999906527955,0.05,-9.71535958e-17,20
0.99990711409,0.05,-3.29628078239e-17,21
0.999907723892,0.05,-2.46353466128e-17,22
0.999908357176,0.05,-8.32743583443e-18,23
0.999909013752,0.05,-9.02138289686e-17,24
0.999909693427,0.05,-1.63078733823e-16,25
0.999910395999,0.05,-2.08185471368e-17,26
0.999911121261,0.05,6.62723269832e-17,27
0.999911869,0.05,6.41904257775e-17,28
0.999912639,0.05,2.25533754731e-17,29
0.999913431035,0.05,-2.08184839463e-17,30
0.999914244878,0.05,1.21441057511e-17,31
0.999915080292,0.05,4.16368992168e-17,32
0.999915937038,0.05,4.54535760328e-17,33
0.999916814871,0.05,3.29624880324e-17,34
0.99991771354,0.05,1.04091973919e-16,35
0.999918632789,0.05,1.94304839352e-17,36
0.999919572357,0.05,-1.52667944609e-17,37
0.999920531979,0.05,-5.93322578956e-17,38
0.999921511382,0.05,8.32732628502e-17,39
0.999922510292,0.05,6.93943163844e-18,40
0.999923528427,0.05,-1.38788491452e-17,41
0.999924565502,0.05,1.00621551943e-17,42
0.999925621228,0.05,-1.40870023989e-16,43
0.999926695309,0.05,-1.42257753191e-16,44
0.999927787446,0.05,-1.51278811334e-16,45
0.999928897336,0.05,1.07560503349e-17,46
0.999930024671,0.05,3.46968974464e-18,47
