avg(density),avg(temperature),avg(velocity (2)),Time
0.9999,0.05,0,0
0.999900160509,0.05,0,1
0.999900369624,0.05,4.37193873736e-17,2
0.999900627723,0.05,-1.38791670122e-18,3
0.999900934929,0.05,5.55166509922e-18,4
0.999901291201,0.05,5.72515259366e-17,5
0.999901696391,0.05,6.10682695857e-17,6
0.999902150275,0.05,7.98050888009e-17,7
0.999902652577,0.05,2.39415146132e-17,8
0.999903202978,0.05,1.56140226747e-17,9
0.999903801124,0.05,-4.54541277066e-17,10
0.999904446633,0.05,-3.99024527612e-17,11
0.999905139094,0.05,2.63702983452e-17,12
0.999905878071,0.05,-5.93331274268e-17,13
0.999906663104,0.05,1.38790832384e-17,14
0.999907493711,0.05,8.39683838409e-17,15
0.999908369386,0.05,3.29627664421e-17,16
0.999909289602,0.05,-4.44129497013e-17,17
0.99991025381,0.05,-8.84788379134e-17,18
0.999911261438,0.05,1.3879019412e-17,19
0.999912311897,0.05,-1.21441292275e-17,20
0.999913404574,0.05,-1.66547875978e-16,21
0.999914538836,0.05,-1.2664563703e-16,22
0.999915714034,0.05,-1.23522722722e-16,23
0.999916929495,0.05,-1.71751891638e-16,24
0.999918184529,0.05,-6.3496074182e-17,25
0.999919478427,0.05,1.3080868301e-16,26
0.999920810464,0.05,1.40870701735e-16,27
0.999922179892,0.05,7.80686317283e-17,28
0.999923585951,0.05,-4.71880843791e-17,29
0.999925027862,0.05,1.18663982249e-16,30
0.999926504827,0.05,7.59864728868e-17,31
0.999928016035,0.05,-5.93318138176e-17,32
0.999929560658,0.05,1.12071030758e-16,33
0.999931137854,0.05,2.74452153264e-16,34
0.999932746764,0.05,9.78449844369e-17,35
0.999934386516,0.05,3.67785508596e-17,36
0.999936056223,0.05,-4.16360257882e-17,37
0.999937754988,0.05,4.30238202225e-17,38
0.999939481895,0.05,9.1598942926e-17,39
0.999941236022,0.05,1.04089525273e-16,40
0.999943016431,0.05,-6.7311106495e-17,41
0.999944822173,0.05,8.67409599765e-18,42
0.99994665229,0.05,-1.38785281955e-17,43
0.99994850581,0.05,8.32710148203e-17,44
0.999950381756,0.05,9.15979444608e-17,45
0.999952279137,0.05,1.94298301392e-16,46
0.999954196955,0.05,8.01478956078e-17,47
0.999956134203,0.05,4.33699893586e-17,48
0.999958089868,0.05,1.15884384925e-16,49
0.999960062928,0.05,9.50666431669e-17,50
0.999962052353,0.05,-7.6677687376e-17,51
0.999964057109,0.05,-9.0555820284e-17,52
0.999966076155,0.05,-6.76565107321e-17,53
0.999968108446,0.05,5.55129216246e-17,54
0.99997015293,0.05,2.08173030472e-17,55
0.999972208554,0.05,6.93908675116e-18,56
0.999974274258,0.05,-1.45720520751e-16,57
0.999976348981,0.05,-2.46336559699e-17,58
0.99997843166,0.05,1.26984497286e-16,59
0.999980521229,0.05,5.41244267278e-17,60
0.999982616619,0.05,-1.11024232439e-16,61
0.999984716763,0.05,4.92668996754e-17,62
0.999986820592,0.05,-1.08942070083e-16,63
0.999988927039,0.05,-1.66535297733e-16,64
0.999991035034,0.05,-1.09288558755e-16,65
0.999993143512,0.05,-5.06542728089e-17,66
0.999995251408,0.05,-1.45717463935e-16,67
0.999997357659,0.05,-4.71846032244e-17,68
0.999999461207,0.05,-1.03389574874e-16,69
1.00000156099,0.05,-1.61675975586e-16,70
1.00000365597,0.05,-1.7347171339e-16,71
1.00000574509,0.05,1.02348097084e-16,72
1.0000078273,0.05,-2.56737064887e-17,73
1.00000990157,0.05,-6.24494267876e-17,74
1.00001196688,0.05,-1.57511006704e-16,75
1.00001402218,0.05,-1.75551554153e-16,76
1.00001606647,0.05,-1.94632846941e-16,77
1.00001809874,0.05,-1.05816216894e-16,78
1.00002011798,0.05,-8.63874911614e-17,79
1.00002212321,0.05,-2.39386543687e-17,80
1.00002411342,0.05,-6.76525842276e-17,81
1.00002608766,0.05,2.28977525341e-16,82
1.00002804495,0.05,6.79992532225e-17,83
1.00002998434,0.05,-9.57538647573e-17,84
1.00003190489,0.05,-1.40508118658e-16,85
1.00003380566,0.05,-1.3877318676e-18,86
1.00003568572,0.05,-7.77128384848e-17,87
1.00003754419,0.05,4.02440737117e-17,88
1.00003938014,0.05,4.51010342902e-17,89
1.00004119271,0.05,7.80593409429e-17,90
1.00004298103,0.05,-3.81622762176e-18,91
1.00004474423,0.05,-2.98359088021e-17,92
1.00004648148,0.05,-6.90387853192e-17,93
1.00004819194,0.05,-1.90810386834e-17,94
1.00004987482,0.05,-4.51005609931e-17,95
1.00005152931,0.05,-4.85697545616e-17,96
1.00005315463,0.05,-1.31831976695e-16,97
1.00005475001,0.05,-1.42239537414e-16,98
1.00005631472,0.05,-2.61928494443e-16,99
1.00005784802,0.05,-1.4883066468e-16,100
1.00005934919,0.05,-1.08934169137e-16,101
1.00006081754,0.05,-1.0373015525e-16,102
1.0000622524,0.05,-9.33223134698e-17,103
1.0000636531,0.05,-1.21422914374e-17,104
1.000065019,0.05,-1.49523441765e-16,105
1.00006634948,0.05,-3.79532314771e-16,106
1.00006764394,0.05,-3.39635882287e-16,107
1.00006890179,0.05,-2.25151593833e-16,108
1.00007012247,0.05,-2.07458380232e-16,109
1.00007130544,0.05,-1.52644781483e-16,110
1.00007245016,0.05,-1.5299152632e-16,111
1.00007355614,0.05,-1.00606561376e-17,112
1.0000746229,0.05,-7.6322137564e-17,113
1.00007564996,0.05,5.55069521326e-18,114
1.00007663689,0.05,-8.846411766e-17,115
1.00007758327,0.05,-1.66520534487e-16,116
1.00007848869,0.05,-1.59928951871e-16,117
1.00007935279,0.05,-2.77533733081e-17,118
1.0000801752,0.05,-2.0815012864e-17,119
1.00008095558,0.05,-3.98954101912e-17,120
1.00008169364,0.05,-1.28359051105e-16,121
1.00008238906,0.05,-1.45704767503e-16,122
1.0000830416,0.05,-1.24889719228e-16,123
1.00008365099,0.05,2.77532540284e-17,124
1.00008421702,0.05,-1.17951262863e-16,125
1.00008473948,0.05,-1.37031542621e-16,126
1.00008521819,0.05,-1.07890605963e-16,127
1.000085653,0.05,-1.78661215156e-16,128
1.00008604377,0.05,-1.38765938133e-16,129
1.00008639039,0.05,-3.29568988842e-17,130
1.00008669277,0.05,-1.42928823525e-16,131
1.00008695084,0.05,-1.70335034567e-16,132
1.00008716455,0.05,-1.7206957045e-16,133
1.00008733389,0.05,-3.46914397811e-17,134
1.00008745886,0.05,2.42840048124e-17,135
1.00008753946,0.05,1.02339726318e-16,136
1.00008757577,0.05,-2.2896344718e-17,137
1.00008756782,0.05,6.93828633327e-18,138
1.00008751573,0.05,3.46914334734e-17,139
1.00008741959,0.05,1.56111465637e-17,140
1.00008727955,0.05,-5.55063066657e-17,141
1.00008709575,0.05,4.50988824542e-17,142
1.00008686838,0.05,-3.1222310336e-17,143
1.00008659763,0.05,-1.39112775936e-16,144
1.00008628372,0.05,-1.04421343391e-16,145
1.0000859269,0.05,1.50907975355e-16,146
1.00008552742,0.05,1.21767173581e-16,147
1.00008508558,0.05,-8.67287944292e-18,148
1.00008460167,0.05,-1.019931116e-16,149
1.00008407601,0.05,-1.6339721365e-16,150
1.00008350897,0.05,-1.66519547818e-16,151
1.00008290089,0.05,-8.15252448554e-17,152
1.00008225217,0.05,-1.14135416833e-16,153
1.00008156322,0.05,-1.87334855772e-16,154
1.00008083445,0.05,-2.45963906537e-16,155
1.00008006631,0.05,-1.37032182941e-16,156
1.00007925926,0.05,-7.80563697287e-17,157
1.00007841379,0.05,1.69989571119e-17,158
1.0000775304,0.05,-1.35644859221e-16,159
1.0000766096,0.05,-8.70764476019e-17,160
1.00007565194,0.05,1.73459225071e-17,161
1.00007465796,0.05,4.68340373178e-17,162
1.00007362823,0.05,-1.24890894774e-16,163
1.00007256335,0.05,-9.01990756033e-17,164
1.00007146392,0.05,-1.26625764572e-16,165
1.00007033056,0.05,-5.16911241182e-17,166
1.00006916391,0.05,4.50996911044e-17,167
1.00006796462,0.05,-1.73460558417e-17,168
1.00006673335,0.05,7.84042689346e-17,169
1.00006547079,0.05,2.10234721055e-16,170
1.00006417764,0.05,-6.93844861064e-17,171
1.00006285461,0.05,-4.75284358607e-17,172
1.00006150241,0.05,5.51608140129e-17,173
1.0000601218,0.05,1.24892581504e-17,174
1.00005871352,0.05,7.45887301004e-17,175
1.00005727833,0.05,1.8040090844e-16,176
1.00005581701,0.05,1.7693191874e-17,177
1.00005433034,0.05,9.22822751945e-17,178
1.00005281913,0.05,4.57942809517e-17,179
1.00005128418,0.05,2.15441606969e-16,180
1.00004972632,0.05,2.65399494484e-16,181
1.00004814637,0.05,3.40336360026e-16,182
1.00004654517,0.05,3.21255834843e-16,183
1.00004492357,0.05,3.00440609173e-16,184
