avg(density),avg(temperature),avg(velocity (2)),Time
0.9999,0.05,0,0
0.999900071369,0.05,0,1
0.999900164239,0.05,0,2
0.999900278685,0.05,0,3
0.999900414732,0.05,0,4
0.999900572373,0.05,6.93958389026e-18,5
0.99990075158,0.05,1.3879165293e-17,6
0.99990095231,0.05,-6.24562312806e-17,7
0.99990117451,0.05,-2.77583188451e-17,8
0.999901418118,0.05,-7.07836958098e-17,9
0.999901683066,0.05,2.60234106816e-17,10
0.999901969279,0.05,4.16374451722e-17,11
0.999902276678,0.05,-4.16374323716e-17,12
0.999902605179,0.05,-4.16374186924e-17,13
0.999902954692,0.05,-5.03118633336e-17,14
0.999903325123,0.05,-2.77582591419e-17,15
0.999903716373,0.05,-1.38791241402e-17,16
0.999904128339,0.05,-7.63351513208e-17,17
0.999904560913,0.05,-6.24560058794e-17,18
0.999905013983,0.05,-8.32746367729e-18,19
0.999905487434,0.05,-4.857684845e-17,20
0.999905981143,0.05,-1.11032741634e-16,21
0.999906494985,0.05,-1.21095021615e-16,22
0.999907028832,0.05,-1.4226055116e-17,23
0.999907582549,0.05,4.92707001903e-17,24
0.999908155998,0.05,9.33366954232e-17,25
0.999908749037,0.05,1.73488178561e-18,26
0.999909361521,0.05,-3.81673759044e-18,27
0.999909993297,0.05,-9.02137405921e-17,28
0.999910644212,0.05,-2.22064447669e-17,29
0.999911314107,0.05,-4.02491541748e-17,30
0.99991200282,0.05,1.9083637542e-17,31
0.999912710183,0.05,-4.33718728222e-17,32
0.999913436027,0.05,-1.38789892283e-17,33
0.999914180177,0.05,-5.34340687624e-17,34
0.999914942454,0.05,-3.33095239651e-17,35
0.999915722676,0.05,-3.43504197858e-17,36
0.999916520658,0.05,1.14154334248e-16,37
0.99991733621,0.05,1.85283783494e-16,38
0.999918169139,0.05,1.6966984018e-16,39
0.999919019248,0.05,-4.16367351976e-17,40
0.999919886335,0.05,1.054796377e-16,41
0.999920770198,0.05,6.28019656176e-17,42
0.999921670629,0.05,1.99508827138e-16,43
0.999922587416,0.05,5.06578470533e-17,44
0.999923520346,0.05,1.38788492574e-16,45
0.9999244692,0.05,1.16582223134e-16,46
0.999925433758,0.05,2.42879397241e-16,47
0.999926413796,0.05,1.21439579596e-17,48
0.999927409085,0.05,6.93939764113e-17,49
0.999928419395,0.05,-7.32105711432e-17,50
0.999929444493,0.05,1.43992207949e-16,51
0.999930484142,0.05,1.73484407515e-18,52
0.999931538103,0.05,-2.67165705972e-17,53
0.999932606131,0.05,-1.04090423615e-16,54
0.999933687983,0.05,1.56135466496e-17,55
0.99993478341,0.05,1.38786929288e-17,56
0.99993589216,0.05,-2.98391567107e-17,57
0.99993701398,0.05,-1.38439653146e-16,58
0.999938148614,0.05,-1.50930277657e-16,59
0.999939295802,0.05,-1.93953858428e-16,60
0.999940455283,0.05,1.90830945332e-17,61
0.999941626793,0.05,-6.73112000385e-17,62
0.999942810066,0.05,4.30236027212e-17,63
0.999944004833,0.05,2.0470883287e-17,64
0.999945210823,0.05,-2.77570964041e-17,65
0.999946427762,0.05,-8.67408206987e-17,66
0.999947655376,0.05,3.12266571152e-17,67
0.999948893386,0.05,5.58609507905e-17,68
0.999950141514,0.05,-2.56751875704e-17,69
0.999951399477,0.05,-1.05476313543e-16,70
0.999952666993,0.05,7.77192904115e-17,71
0.999953943775,0.05,8.32705619746e-17,72
0.999955229538,0.05,2.04706534971e-17,73
0.999956523991,0.05,-5.37787658414e-17,74
0.999957826846,0.05,-1.30109747837e-16,75
