avg(density),avg(temperature),avg(velocity (2)),Time
0.9999,0.4,0,0
0.999900102756,0.4,0,1
0.999900451639,0.4,0,2
0.999901045447,0.4,-1.62646420477e-17,3
0.999901882429,0.4,2.08187243944e-17,4
0.999902960218,0.4,-1.02141756462e-16,5
0.999904275862,0.4,-2.16861193348e-17,6
0.999905825827,0.4,4.33721714378e-19,7
0.999907606005,0.4,1.58308143905e-17,8
0.999909611725,0.4,3.57819059568e-17,9
0.999911837767,0.4,3.5998685851e-17,10
0.999914278375,0.4,2.53725058086e-17,11
0.99991692727,0.4,6.83104115989e-17,12
0.999919777669,0.4,5.52987469912e-17,13
0.999922822298,0.4,1.45077447423e-16,14
0.999926053416,0.4,6.46232281471e-17,15
0.999929462831,0.4,6.93938338837e-17,16
0.99993304192,0.4,-4.44552657111e-17,17
0.999936781654,0.4,-7.63326585674e-17,18
0.999940672619,0.4,-3.46965279737e-17,19
0.999944705039,0.4,-7.71994634223e-17,20
0.999948868802,0.4,-5.52971382057e-17,21
0.999953153482,0.4,-2.55883699967e-17,22
0.99995754837,0.4,-7.87164193627e-17,23
0.999962042499,0.4,2.68892345258e-17,24
0.999966624668,0.4,-9.10760221812e-17,25
0.999971283474,0.4,6.31023785197e-17,26
0.999976007339,0.4,-1.72392281575e-16,27
0.999980784539,0.4,-2.55876629494e-17,28
0.99998560323,0.4,-1.98845541167e-16,29
0.999990451483,0.4,-5.70295788206e-17,30
0.99999531731,0.4,-1.45717454332e-16,31
1.00000018869,0.4,-2.08166777838e-17,32
1.00000505362,0.4,-1.83012401841e-16,33
1.00000990009,0.4,9.30236254566e-17,34
1.0000147162,0.4,-1.21645693591e-16,35
1.0000194901,0.4,-7.78441987934e-17,36
1.00002421007,0.4,-1.64577905341e-16,37
1.00002886455,0.4,-1.50266083744e-16,38
1.00003344213,0.4,-9.47561010294e-17,39
1.00003793163,0.4,-8.30467363141e-17,40
1.00004232209,0.4,-5.29068268897e-17,41
1.00004660281,0.4,3.25245494393e-17,42
1.00005076336,0.4,1.43107422155e-17,43
1.00005479363,0.4,8.56472787009e-17,44
1.00005868386,0.4,4.31487143319e-17,45
1.00006242462,0.4,4.98701868071e-18,46
1.00006600687,0.4,-2.62359608205e-17,47
1.00006942198,0.4,-6.07111069739e-17,48
1.00007266174,0.4,4.16303384907e-17,49
1.00007571837,0.4,-3.96787950993e-17,50
1.00007858457,0.4,-6.37460782841e-17,51
1.0000812535,0.4,-1.04508597738e-16,52
1.00008371884,0.4,2.92710081222e-17,53
1.00008597476,0.4,4.77007945251e-18,54
1.00008801595,0.4,5.61567298467e-17,55
1.00008983766,0.4,-1.01905849231e-17,56
1.00009143566,0.4,6.9382594996e-17,57
1.00009280629,0.4,-2.16820312208e-17,58
1.00009394647,0.4,-2.3633387087e-17,59
1.00009485366,0.4,-1.33777858766e-16,60
1.00009552592,0.4,-2.1486834509e-16,61
1.0000959619,0.4,-2.42404344187e-16,62
1.0000961608,0.4,-2.77745888324e-16,63
1.00009612244,0.4,-9.34492446986e-17,64
1.00009584721,0.4,-1.57411068032e-16,65
1.00009533609,0.4,-1.19684509589e-16,66
1.00009459063,0.4,-1.54158966933e-16,67
1.00009361296,0.4,-2.77529775772e-17,68
1.00009240579,0.4,-1.27490394634e-16,69
1.00009097237,0.4,3.46913135683e-17,70
1.00008931654,0.4,-1.64567191212e-16,71
1.00008744263,0.4,-2.49344696315e-17,72
1.00008535556,0.4,-9.82203331759e-17,73
1.00008306072,0.4,9.17158858045e-17,74
1.00008056404,0.4,2.94879234252e-17,75
1.00007787193,0.4,1.22288482216e-16,76
1.00007499126,0.4,2.08151207597e-17,77
1.00007192936,0.4,8.19597889247e-17,78
1.00006869402,0.4,3.53425630004e-17,79
1.00006529341,0.4,2.1682627717e-17,80
1.00006173614,0.4,2.12924161561e-16,81
1.00005803115,0.4,6.39642162598e-17,82
1.00005418776,0.4,2.46967872256e-16,83
1.00005021562,0.4,1.45709455091e-16,84
1.00004612467,0.4,1.49612998953e-16,85
1.00004192514,0.4,8.28295733362e-17,86
1.00003762752,0.4,5.78942175951e-17,87
1.0000332425,0.4,1.31834601662e-16,88
1.00002878101,0.4,8.06623200896e-17,89
1.00002425413,0.4,1.20560357493e-16,90
1.0000196731,0.4,1.16224186401e-16,91
1.00001504926,0.4,6.48343142064e-17,92
1.00001039405,0.4,1.15574750297e-16,93
1.000005719,0.4,7.61105572323e-17,94
1.00000103563,0.4,2.38524230924e-17,95
0.99999635549,0.4,5.6378718442e-18,96
0.999991690109,0.4,4.77052920151e-18,97
0.999987050958,0.4,6.24508538139e-17,98
0.999982449433,0.4,2.55876203479e-17,99
0.99997789682,0.4,1.53309575819e-16,100
0.999973404274,0.4,1.65019959478e-16,101
0.999968982787,0.4,2.68673631849e-16,102
0.999964643162,0.4,9.58468608896e-17,103
0.999960395989,0.4,1.59384031602e-16,104
0.999956251616,0.4,-4.33699842662e-19,105
0.999952220124,0.4,6.44046862935e-17,106
0.999948311308,0.4,-5.4429762462e-17,107
0.999944534646,0.4,7.15613125576e-17,108
0.999940899279,0.4,-1.30111950408e-18,109
0.999937413992,0.4,8.32719385051e-17,110
0.999934087187,0.4,2.45045842643e-17,111
0.999930926867,0.4,9.10792736195e-18,112
0.999927940617,0.4,-1.1363257597e-16,113
0.999925135582,0.4,-9.30315111492e-17,114
0.999922518453,0.4,-7.76348908214e-17,115
0.999920095452,0.4,5.8551595853e-17,116
0.999917872314,0.4,5.74674348092e-17,117
0.999915854276,0.4,3.01433568297e-17,118
0.999914046063,0.4,1.2946486741e-16,119
0.999912451879,0.4,4.03358521445e-17,120
0.999911075395,0.4,1.17104248077e-17,121
0.999909919742,0.4,-9.86712860311e-17,122
0.999908987503,0.4,-1.80427662674e-16,123
0.999908280707,0.4,-9.17319173788e-17,124
0.999907800829,0.4,-1.38790674463e-16,125
0.999907548778,0.4,-5.96366329663e-17,126
0.999907524903,0.4,-1.04093034572e-16,127
0.999907728993,0.4,3.68662755529e-18,128
0.999908160271,0.4,-6.70098484259e-17,129
0.999908817404,0.4,2.81918270886e-17,130
0.999909698502,0.4,1.47464811751e-17,131
0.999910801127,0.4,1.09731047741e-16,132
0.999912122297,0.4,1.91053212109e-16,133
0.999913658495,0.4,6.20217193148e-17,134
0.999915405676,0.4,3.92514390929e-17,135
0.999917359282,0.4,6.05034812758e-17,136
0.99991951425,0.4,6.35393613208e-17,137
0.999921865026,0.4,-3.70826117479e-17,138
0.99992440558,0.4,-2.81913875962e-17,139
0.999927129422,0.4,-1.81291814079e-16,140
0.999930029615,0.4,1.10379504456e-16,141
0.999933098796,0.4,-6.07193838591e-18,142
0.999936329194,0.4,1.0712599544e-16,143
0.99993971265,0.4,-1.17100894331e-16,144
0.999943240634,0.4,3.49132916103e-17,145
0.999946904273,0.4,4.70568728048e-17,146
0.999950694366,0.4,3.31782223514e-17,147
0.999954601413,0.4,-3.96836010924e-17,148
0.999958615636,0.4,-9.88833303544e-17,149
0.999962727004,0.4,-1.54829841203e-16,150
0.999966925257,0.4,-1.51793324673e-16,151
0.999971199934,0.4,-1.52660062506e-16,152
0.999975540397,0.4,-1.00182731168e-16,153
0.999979935858,0.4,-8.39189319117e-17,154
0.999984375407,0.4,-2.14675384368e-17,155
0.999988848037,0.4,-1.64583725215e-16,156
0.999993342674,0.4,-5.31262601306e-17,157
0.999997848203,0.4,-9.30247465697e-17,158
1.00000235349,0.4,9.47590468605e-17,159
1.00000684743,0.4,3.75131382994e-17,160
1.00001131894,0.4,-2.21174739723e-17,161
1.00001575702,0.4,-2.53699310817e-17,162
1.00002015076,0.4,-3.94641638456e-17,163
1.00002448938,0.4,-7.63259637678e-17,164
1.00002876223,0.4,-6.24482489842e-17,165
1.00003295887,0.4,-1.07549310807e-16,166
1.00003706902,0.4,-1.54384666473e-16,167
1.00004108267,0.4,-1.27063274517e-16,168
1.00004499002,0.4,-1.31833053003e-16,169
1.00004878157,0.4,-1.91677593762e-16,170
1.00005244811,0.4,-4.33658124444e-19,171
1.00005598076,0.4,-1.96446436433e-16,172
1.00005937097,0.4,-3.66438578486e-17,173
1.00006261055,0.4,-1.75846582526e-16,174
1.00006569171,0.4,-9.75717858663e-18,175
1.00006860704,0.4,-1.45056298795e-16,176
1.00007134957,0.4,8.23934863693e-18,177
1.00007391274,0.4,-5.96267123129e-17,178
