arc_length,density,temperature,velocity_0,velocity_1,velocity_2
0,1,0.4,3.46944695195e-18,0.00053,-1.69540307719e-15
0.0800018310547,1,0.4,3.3306658975e-18,0.000569000892639,-1.54334530186e-15
0.159999847412,1,0.4,3.1918914605e-18,0.000607999925614,-1.39129477705e-15
0.240001678467,1,0.4,3.05311040604e-18,0.000647000818253,-1.23923700172e-15
0.319999694824,1,0.4,2.91433596904e-18,0.000685999851227,-1.08718647691e-15
0.400001525879,1,0.4,2.77555491458e-18,0.000725000743866,-9.35128701578e-16
0.479999542236,1,0.4,2.63678047758e-18,0.000763999776841,-7.83078176764e-16
0.560001373291,1,0.4,2.49799942313e-18,0.00080300066948,-6.31020401436e-16
0.639999389648,1,0.4,2.35922498612e-18,0.000841999702454,-4.78969876623e-16
0.720001220703,1,0.4,2.22044393167e-18,0.000881000595093,-3.26912101295e-16
0.799999237061,1,0.4,2.08166949466e-18,0.000919999628067,-1.74861576481e-16
0.880001068115,1,0.4,1.94288844021e-18,0.000959000520707,-2.28038011536e-17
0.959999084473,1,0.4,1.8041140032e-18,0.000997999553681,1.2924672366e-16
1.04000091553,1,0.4,1.66533294875e-18,0.00103700044632,2.81304498988e-16
1.11999893188,1,0.4,1.52655851174e-18,0.00107599947929,4.33355023801e-16
1.20000076294,1,0.4,1.38777745729e-18,0.00111500037193,5.85412799129e-16
1.2799987793,1,0.4,1.24900302029e-18,0.00115399940491,7.37463323943e-16
1.36000061035,1,0.4,1.11022196583e-18,0.00119300029755,8.8952109927e-16
1.43999862671,1,0.4,9.71447528827e-19,0.00123199933052,1.04157162408e-15
1.52000045776,1,0.4,8.32666474375e-19,0.00127100022316,1.19362939941e-15
1.59999847412,1,0.4,6.93892037369e-19,0.00130999925613,1.34567992423e-15
1.68000030518,1,0.4,5.55110982917e-19,0.00134900014877,1.49773769955e-15
1.75999832153,1,0.4,4.1633654591e-19,0.00138799918175,1.64978822437e-15
1.84000015259,1,0.4,2.77555491458e-19,0.00142700007439,1.80184599969e-15
1.91999816895,1,0.4,1.38781054452e-19,0.00146599910736,1.95389652451e-15
2,1,0.4,9.62964972194e-35,0.001505,2.10595429984e-15
2.08000183105,1,0.4,8.67381590323e-21,0.00154200084686,1.93506277891e-15
2.15999984741,1,0.4,1.73472182162e-20,0.00157899992943,1.76417940654e-15
2.24000167847,1,0.4,2.60210341194e-20,0.00161600077629,1.59328788562e-15
2.31999969482,1,0.4,3.46944364323e-20,0.00165299985886,1.42240451325e-15
2.40000152588,1,0.4,4.33682523355e-20,0.00169000070572,1.25151299232e-15
2.47999954224,1,0.4,5.20416546485e-20,0.00172699978829,1.08062961995e-15
2.56000137329,1,0.4,6.07154705517e-20,0.00176400063515,9.09738099026e-16
2.63999938965,1,0.4,6.93888728646e-20,0.00180099971771,7.38854726657e-16
2.7200012207,1,0.4,7.80626887679e-20,0.00183800056458,5.67963205732e-16
2.79999923706,1,0.4,8.67360910808e-20,0.00187499964714,3.97079833362e-16
2.88000106812,1,0.4,9.5409906984e-20,0.001912000494,2.26188312437e-16
2.95999908447,1,0.4,1.04083309297e-19,0.00194899957657,5.53049400676e-17
3.04000091553,1,0.4,1.127571252e-19,0.00198600042343,-1.15586580858e-16
3.11999893188,1,0.4,1.21430527513e-19,0.002022999506,-2.86469953227e-16
3.20000076294,1,0.4,1.30104343416e-19,0.00206000035286,-4.57361474153e-16
3.2799987793,1,0.4,1.38777745729e-19,0.00209699943543,-6.28244846522e-16
3.36000061035,1,0.4,1.47451561632e-19,0.00213400028229,-7.99136367447e-16
3.43999862671,1,0.4,1.56124963945e-19,0.00217099936485,-9.70019739816e-16
3.52000045776,1,0.4,1.64798779849e-19,0.00220800021172,-1.14091126074e-15
3.59999847412,1,0.4,1.73472182162e-19,0.00224499929428,-1.31179463311e-15
3.68000030518,1,0.4,1.82145998065e-19,0.00228200014114,-1.48268615404e-15
3.75999832153,1,0.4,1.90819400378e-19,0.00231899922371,-1.65356952641e-15
3.84000015259,1,0.4,1.99493216281e-19,0.00235600007057,-1.82446104733e-15
3.91999816895,1,0.4,2.08166618594e-19,0.00239299915314,-1.9953444197e-15
4,1,0.4,2.16840434497e-19,0.00243,-2.16623594063e-15
4.08000183105,1,0.4,3.55621488949e-19,0.00246500080109,-1.99674957788e-15
4.15999984741,1,0.4,4.94395925956e-19,0.00249999993324,-1.82727129668e-15
4.24000167847,1,0.4,6.33176980407e-19,0.00253500073433,-1.65778493393e-15
4.31999969482,1,0.4,7.71951417414e-19,0.00256999986649,-1.48830665274e-15
4.40000152588,1,0.4,9.10732471866e-19,0.00260500066757,-1.31882028999e-15
4.47999954224,1,0.4,1.04950690887e-18,0.00263999979973,-1.14934200879e-15
4.56000137329,1,0.4,1.18828796332e-18,0.00267500060082,-9.79855646046e-16
4.63999938965,1,0.4,1.32706240033e-18,0.00270999973297,-8.10377364851e-16
4.7200012207,1,0.4,1.46584345478e-18,0.00274500053406,-6.40891002102e-16
4.79999923706,1,0.4,1.60461789179e-18,0.00277999966622,-4.71412720908e-16
4.88000106812,1,0.4,1.74339894624e-18,0.0028150004673,-3.01926358158e-16
4.95999908447,1,0.4,1.88217338325e-18,0.00284999959946,-1.32448076964e-16
5.04000091553,1,0.4,2.0209544377e-18,0.00288500040054,3.70382857852e-17
5.11999893188,1,0.4,2.15972887471e-18,0.0029199995327,2.0651656698e-16
5.20000076294,1,0.4,2.29850992916e-18,0.00295500033379,3.76002929729e-16
5.2799987793,1,0.4,2.43728436617e-18,0.00298999946594,5.45481210923e-16
