arc_length,density,temperature,velocity_0,velocity_1,velocity_2
2.44159984589,0.000624854909794,1666.666666,-2.22998215572e-16,0.575297912348,0.000101499412674
2.44479990005,0.000623681519907,1666.666666,-1.22066939451e-17,0.576720786263,0.000161151819537
2.44799995422,0.000622508130019,1666.666666,1.98584827682e-16,0.578143660177,0.0002208042264
2.45120000839,0.000621337319804,1666.666666,2.78201840165e-16,0.579569687179,0.000235310547376
2.45440006256,0.000620170809011,1666.666666,1.39196299615e-16,0.581000969287,0.00017457395248
2.45759987831,0.000619004298217,1666.666666,1.90759064621e-19,0.582432251395,0.000113837357583
2.46079993248,0.000617839497099,1666.666666,-1.49216437129e-16,0.583865642371,8.33265438369e-05
2.46399998665,0.000616679825101,1666.666666,-3.298291815e-16,0.585305360066,0.000143494762563
2.4671998024,0.000615520153102,1666.666666,-5.10441925872e-16,0.586745077761,0.000203662981289
2.47039985657,0.000614361330878,1666.666666,-6.19890632696e-16,0.588185858856,0.000248650442467
2.47359991074,0.00061320843607,1666.666666,-2.31144066996e-16,0.589634111318,0.000187362975739
2.4767999649,0.000612055562736,1666.666666,1.57595257858e-16,0.591082336806,0.000126076650559
2.48000001907,0.000610902689433,1666.666666,5.46333439097e-16,0.592530562333,6.47908933712e-05
2.48320007324,0.000609756574937,1666.666666,6.8948368463e-16,0.593987323152,0.000125479619442
2.48639988899,0.00060861046044,1666.666666,8.32633930163e-16,0.59544408397,0.000186168345514
2.48959994316,0.000607464345944,1666.666666,9.75784175695e-16,0.596900844789,0.000246857071585
2.49279999733,0.000606324110722,1666.666666,6.91503668559e-16,0.598365138103,0.000200332544398
2.49599981308,0.000605184715402,1666.666666,3.46161300366e-16,0.599830507494,0.000138491756664
2.49919986725,0.000604045320081,1666.666666,8.1893217299e-19,0.601295876885,7.66509689297e-05
2.50239992142,0.000602910934583,1666.666666,1.30052982649e-16,0.602767723416,0.000107100538477
2.50559997559,0.000601778219077,1666.666666,4.17484083659e-16,0.604241729062,0.000168314515484
2.50880002975,0.000600645482473,1666.666666,7.049205385e-16,0.605715762162,0.000229529632693
2.51200008392,0.000599516917402,1666.666666,7.83593988755e-16,0.607195211966,0.000213483927562
2.51519989967,0.000598390842513,1666.666666,7.37016892467e-16,0.608677928159,0.000151083909769
2.51839995384,0.000597264767624,1666.666666,6.90439796179e-16,0.610160644352,8.86838919764e-05
2.52160000801,0.000596141993608,1666.666666,5.63831432429e-16,0.61164772975,8.83561821733e-05
2.52479982376,0.000595022520436,1666.666666,3.57192546564e-16,0.613139184314,0.000150100202268
2.52799987793,0.000593903047263,1666.666666,1.505536607e-16,0.614630638878,0.000211844222363
2.5311999321,0.000592786035187,1666.666666,-9.8684537853e-18,0.616125398565,0.000226823078808
2.53439998627,0.00059167312499,1666.666666,-9.32616594576e-17,0.617625666861,0.000163859027975
2.53760004044,0.000590560214794,1666.666666,-1.7665486513e-16,0.619125935157,0.000100894977141
2.54079985619,0.000589448935677,1666.666666,-2.48090923625e-16,0.620628413805,6.92406444881e-05
2.54399991035,0.000588342529403,1666.666666,-2.83654643915e-16,0.622137551904,0.000131520708877
2.54719996452,0.000587236143737,1666.666666,-3.1921770179e-16,0.623646661894,0.000193799613229
2.55040001869,0.000586130568886,1666.666666,-3.68058501258e-16,0.625156886699,0.000240351380112
2.55359983444,0.000585030669465,1666.666666,-5.09839040342e-16,0.62667491483,0.00017681845744
2.55679988861,0.000583930770043,1666.666666,-6.51619579426e-16,0.62819294296,0.000113285534769
2.55999994278,0.000582830870621,1666.666666,-7.9340011851e-16,0.629710971091,4.97526120968e-05
2.56319999695,0.000581737419448,1666.666666,-4.3308991155e-16,0.631237945461,0.000112571291311
2.56640005112,0.000580643968275,1666.666666,-7.27797045911e-17,0.632764919831,0.000175389970525
2.56959986687,0.000579550517101,1666.666666,2.87530502368e-16,0.6342918942,0.000238208649739
2.57279992104,0.000578462675002,1666.666666,1.39613561372e-16,0.635826764336,0.000189968313846
2.5759999752,0.000577375634237,1666.666666,-8.09107354093e-17,0.637362762493,0.000125861644453
2.57920002937,0.000576288573225,1666.666666,-3.01439139782e-16,0.638898789261,6.17537809784e-05
2.58239984512,0.000575206312156,1666.666666,-3.51752848855e-16,0.640441576506,9.32506983416e-05
2.58559989929,0.000574125644249,1666.666666,-3.45332161217e-16,0.641986626682,0.000156614092937
2.58879995346,0.000573044976342,1666.666666,-3.38911473579e-16,0.643531676858,0.000219977487533
2.59200000763,0.000571968268117,1666.666666,-4.67537618083e-16,0.645082433739,0.000203310058217
2.5952000618,0.00057089393567,1666.666666,-6.77190855698e-16,0.646636614602,0.000138624730829
