arc_length,density,velocity_0,velocity_1,velocity_2
0.345600008965,0.000947515005353,-6.08528127791e-17,-0.489989731971,-0.0696553098187
0.348799943924,0.000945731546208,-9.56250390325e-17,-0.489854493659,-0.0696555171646
0.351999998093,0.000943954555965,-8.69322658363e-17,-0.489716943714,-0.0696557260115
0.355199933052,0.000942181553123,-5.21600395829e-17,-0.489578014936,-0.0696559357465
0.358399987221,0.000940408484231,-1.73865179369e-17,-0.489439080982,-0.0696561454894
0.361600041389,0.000938640613105,0,-0.48929828966,-0.0696563564508
0.364799976349,0.000936878005262,0,-0.489155646335,-0.0696565686227
0.368000030518,0.000935115331756,0,-0.489012997696,-0.0696567808025
0.371199965477,0.000933356599177,-1.32716267647e-17,-0.488868952347,-0.0696569939063
0.374400019646,0.000931604260108,-4.86640048523e-17,-0.488722564834,-0.0696572085712
0.377599954605,0.000929851986318,-8.40550644934e-17,-0.488576182774,-0.0696574232281
0.380800008774,0.000928102215723,-1.10651487927e-16,-0.488428854464,-0.0696576385264
0.383999943733,0.000926360215397,-1.10860203459e-16,-0.488278709372,-0.0696578557167
0.387199997902,0.000924618150175,-1.11068926767e-16,-0.488128558686,-0.0696580729151
0.390399932861,0.000922877426343,-1.11277796137e-16,-0.487977940224,-0.0696582904282
0.39359998703,0.000921145574732,-1.11487750349e-16,-0.48782400196,-0.0696585102089
0.396800041199,0.000919413723122,-1.11697704562e-16,-0.487670063695,-0.0696587299896
0.399999976158,0.000917681936027,-1.11907650953e-16,-0.487516131165,-0.0696589497621
0.403200030327,0.000915960238098,-1.12118843324e-16,-0.487358380823,-0.0696591721742
0.406399965286,0.000914238604354,-1.12330027834e-16,-0.487200636339,-0.0696593945781
0.409600019455,0.000912516906472,-1.12541220211e-16,-0.48704288598,-0.0696596169902
0.412799954414,0.000910804104887,-8.10490934668e-17,-0.486881784465,-0.0696598417398
0.416000008583,0.000909092501203,-4.50268454823e-17,-0.486720197384,-0.0696600668329
0.419199943542,0.00090738096128,-9.00593940847e-18,-0.486558616322,-0.0696602919176
0.422399997711,0.000905676883753,-5.46718009668e-17,-0.486394133188,-0.0696605190587
0.425599932671,0.000903975378472,-1.27565838358e-16,-0.486228690812,-0.069660746874
0.428799986839,0.000902273809803,-2.00462591319e-16,-0.486063242273,-0.0696609746978
0.432000041008,0.0009005784763,-2.05152410972e-16,-0.485895364774,-0.0696612042597
0.435199975967,0.000898886946827,-1.68920335121e-16,-0.485726036239,-0.0696614348558
0.438400030136,0.000897195354338,-1.32686909493e-16,-0.485556701396,-0.0696616654606
0.441599965096,0.000895508783549,-9.62398897961e-17,-0.485385417294,-0.0696618974724
0.444800019264,0.00089382710875,-5.95765624636e-17,-0.485212171189,-0.0696621309086
0.447999954224,0.000892145496598,-2.29146009233e-17,-0.485038931539,-0.069662364336
0.451200008392,0.000890467519121,-1.3911368183e-17,-0.484864209313,-0.0696625988531
0.454399943352,0.000888795766144,-5.10070256367e-17,-0.484687033479,-0.0696628351627
0.45759999752,0.000887123950887,-8.81040650393e-17,-0.484509851044,-0.0696630714812
0.46079993248,0.000885454648127,-1.06652843856e-16,-0.484331684921,-0.0696633085241
0.463999986649,0.000883792634606,-6.95558044534e-17,-0.484150540976,-0.0696635477761
0.467200040817,0.000882130621085,-3.24587650508e-17,-0.483969397032,-0.069663787028
0.470399975777,0.000880469887449,4.69174491996e-18,-0.483787761511,-0.0696640266441
0.473600029945,0.000878817618196,4.22276269379e-17,-0.483602630765,-0.0696642688811
0.476799964905,0.000877165410494,7.97621106589e-17,-0.483417506915,-0.069664511109
0.480000019073,0.000875513141331,1.17296941893e-16,-0.483232376132,-0.069664753346
0.483199954033,0.000873870620405,4.20066184971e-17,-0.483043240226,-0.0696649986107
0.486400008202,0.00087222803829,-3.32865097384e-17,-0.482854097274,-0.0696652438846
0.489599943161,0.000870585517364,-1.08576833134e-16,-0.482664961368,-0.0696654891493
0.49279999733,0.000868951361679,-1.51416189865e-16,-0.482472285458,-0.0696657371261
0.495999932289,0.000867318470736,-1.8961735225e-16,-0.48227911198,-0.0696659854797
0.499199986458,0.000865685518962,-2.27819937769e-16,-0.482085931306,-0.0696662338427
0.502400040627,0.00086405974763,-1.80400311646e-16,-0.481889703103,-0.0696664845619
0.505599975586,0.000862436430209,-1.04443309586e-16,-0.481692466424,-0.0696667360571
0.508800029755,0.000860813052313,-2.84834778493e-17,-0.481495222398,-0.0696669875616
0.511999964714,0.000859195683312,2.40175580566e-17,-0.481295430108,-0.0696672410534
0.515200018883,0.000857581823164,6.24467604179e-17,-0.481094096987,-0.0696674957524
0.518399953842,0.000855968023135,1.00874531204e-16,-0.480892771365,-0.069667750442
0.521600008011,0.000854358893936,1.39530364886e-16,-0.480689380777,-0.069668006765
0.52479994297,0.000852754555499,1.78411383539e-16,-0.480483940357,-0.0696682647022
0.527999997139,0.000851150157294,2.17293850652e-16,-0.480278492284,-0.069668522649
0.531199932098,0.000849549346058,2.12604841027e-16,-0.480071499117,-0.069668781824
0.534399986267,0.000847954354323,1.35293171553e-16,-0.479861910121,-0.0696690430721
