arc_length,density,velocity_0,velocity_1,velocity_2
0.45759999752,0.000887123950887,6.04449638035e-17,0.0581194971887,-0.0696630714811
0.46079993248,0.000885454648127,1.15980972389e-16,0.0585912286108,-0.0696633085241
0.463999986649,0.000883792634606,1.16199748602e-16,0.0590652724015,-0.069663547776
0.467200040817,0.000882130621085,1.16418524815e-16,0.0595393161922,-0.069663787028
0.470399975777,0.000880469887449,1.16637454144e-16,0.0600137264713,-0.0696640266441
0.473600029945,0.000878817618196,1.16857520546e-16,0.0604908435996,-0.0696642688811
0.476799964905,0.000877165410494,1.1707757875e-16,0.0609679429542,-0.069664511109
0.480000019073,0.000875513141331,1.17296941893e-16,0.0614450601113,-0.069664753346
0.483199954033,0.000873870620405,4.20066184971e-17,0.0619252463962,-0.0696649986107
0.486400008202,0.00087222803829,-3.32865097384e-17,0.0624054505697,-0.0696652438845
0.489599943161,0.000870585517364,-1.08576833134e-16,0.0628856368545,-0.0696654891493
0.49279999733,0.000868951361679,-5.17203034421e-17,0.0633685541878,-0.069665737126
0.495999932289,0.000867318470736,2.40140372623e-17,0.0638518411544,-0.0696659854797
0.499199986458,0.000865685518962,9.97511993482e-17,0.0643351461251,-0.0696662338427
0.502400040627,0.00086405974763,6.15470983985e-17,0.0648207870522,-0.0696664845618
0.505599975586,0.000862436430209,-1.46338781177e-17,0.0653071884965,-0.069666736057
0.508800029755,0.000860813052313,-9.0817692654e-17,0.0657936080611,-0.0696669875616
0.511999964714,0.000859195683312,-9.55084124372e-17,0.0662819647209,-0.0696672410533
0.515200018883,0.000857581823164,-5.73045137691e-17,0.0667715127205,-0.0696674957524
0.518399953842,0.000855968023135,-1.9102038283e-17,0.0672610424833,-0.069667750442
0.521600008011,0.000854358893936,-1.93278273675e-17,0.067752161636,-0.0696680067649
0.52479994297,0.000852754555499,-5.79822220871e-17,0.0682448336026,-0.0696682647021
0.527999997139,0.000851150157294,-9.66380568244e-17,0.068737523923,-0.0696685226489
0.531199932098,0.000849549346058,-9.17219221036e-17,0.0692313794085,-0.069668781824
0.534399986267,0.000847954354323,-1.41822837349e-17,0.0697272259804,-0.069669043072
0.537600040436,0.000846359362587,6.33573546338e-17,0.0702230725523,-0.0696693043201
0.540799975395,0.000844766768021,1.31345113704e-16,0.0707196931837,-0.0696695663972
0.544000029564,0.000843181127604,1.70687543924e-16,0.0712187099825,-0.0696698310003
0.547199964523,0.000841595546255,2.10028508549e-16,0.0717177081918,-0.0696700955936
0.550400018692,0.000840011067969,2.34673966133e-16,0.0722171230457,-0.0696703606229
0.553599953651,0.000838434782765,1.56450646387e-16,0.0727193053838,-0.0696706286254
0.55680000782,0.000836858438839,7.82244125356e-17,0.0732215064301,-0.0696708966379
0.55999994278,0.000835282153635,1.09278936415e-21,0.0737236887682,-0.0696711646403
0.563199996948,0.000833715051566,0,0.0742290880826,-0.0696714361166
0.566399931908,0.000832148008003,0,0.0747344686145,-0.0696717075827
0.569599986076,0.000830580906063,0,0.0752398679736,-0.069671979059
0.572800040245,0.000829021843464,0,0.0757480782089,-0.0696722536141
0.575999975204,0.000827463987359,0,0.0762566710445,-0.0696725285987
0.579200029373,0.000825906073219,0,0.0767652828271,-0.0696728035937
0.582399964333,0.000824355067382,0,0.0772762955334,-0.0696730812586
0.585600018501,0.000822806287174,0,0.0777881338952,-0.0696733598274
0.588799953461,0.00082125756466,0,0.07829995319,-0.0696736383857
0.592000007629,0.000819714459652,2.51749162073e-17,0.0788138170264,-0.0696739192227
0.595199942589,0.00081817481718,6.54535442047e-17,0.0793288769807,-0.0696742014103
0.598399996758,0.00081663511735,1.05733672728e-16,0.079843956123,-0.0696744836083
0.601599991322,0.000815099959706,1.05733485163e-16,0.080360653162,-0.0696747676436
0.604799985886,0.000813569315528,6.54541069021e-17,0.0808789776765,-0.0696750535213
0.60799998045,0.00081203867135,2.51747286415e-17,0.081397302191,-0.0696753393991
0.611199975014,0.000810511392413,3.05666622221e-17,0.0819168526677,-0.0696756266798
0.614399969578,0.000808989722282,1.12078394096e-16,0.0824384464401,-0.0696759162988
0.617599964142,0.000807468052151,1.9359012597e-16,0.0829600402125,-0.0696762059177
0.620799958706,0.000805948612305,2.343473204e-16,0.0834824548568,-0.069676496486
0.624000012875,0.000804435835429,1.52834070249e-16,0.0840073420009,-0.0696767899079
0.627200007439,0.00080292308673,7.13223383745e-17,0.0845322193684,-0.0696770833244
0.630400002003,0.000801411446718,0,0.0850575090003,-0.0696773772227
0.633599996567,0.000799907567145,0,0.0855856843457,-0.0696776744935
0.636799991131,0.000798403687571,0,0.086113859691,-0.0696779717643
0.639999985695,0.000796899807998,0,0.0866420350364,-0.0696782690351
0.643199980259,0.00079540474555,0,0.0871735227882,-0.0696785702172
0.646399974823,0.000793909683102,0,0.08770501054,-0.0696788713994
0.649599969387,0.000792414620654,0,0.0882364982918,-0.0696791725815
0.652799963951,0.000790927227911,3.65098718086e-17,0.0887708970468,-0.0696794772363
0.655999958515,0.000789440930894,7.82356894058e-17,0.0893057116794,-0.0696797823872
0.659200012684,0.000787954606192,1.19962284208e-16,0.0898405362738,-0.0696800875437
0.662400007248,0.000786474844774,1.30577955695e-16,0.0903778569844,-0.0696803957144
0.665600001812,0.000784997261795,1.30824029173e-16,0.090916013018,-0.0696807048917
0.668799996376,0.000783519678816,1.31070102652e-16,0.0914541690516,-0.0696810140689
0.67199999094,0.000782047510205,1.04929825413e-16,0.0919944225746,-0.0696813257989
0.675199985504,0.000780578590174,6.29579343375e-17,0.0925359345754,-0.0696816390606
0.678399980068,0.000779109670142,2.09860432616e-17,0.0930774465763,-0.0696819523222
0.681599974632,0.00077764505617,0,0.093620643859,-0.0696822676551
0.684799969196,0.000776184748295,0,0.0941655264394,-0.0696825850594
0.68799996376,0.00077472444042,0,0.0947104090197,-0.0696829024637
0.691199958324,0.000773267343105,1.60192465425e-17,0.0952565610386,-0.0696832214434
0.694400012493,0.000771815569852,5.87388950349e-17,0.0958048390691,-0.0696835430548
0.697600007057,0.000770363823641,1.01457747825e-16,0.0963531068873,-0.0696838646603
0.700800001621,0.000768914205346,1.01330785419e-16,0.096902224711,-0.0696841873309
0.703999996185,0.0007674709706,-2.73296323369e-17,0.0974538924716,-0.0696845131965
0.707199990749,0.000766027735855,-1.55990050093e-16,0.0980055602323,-0.0696848390621
